Element_Count,Base_Value_Total,Base_Value_Avg,GOE_Avg,GOE_Min,GOE_Max,Negative_GOE_Count,Second_Half_Count,Skating_Skills,Performance,Composition,Interpretation_Music,Deductions_Falls,Deductions_CostumeOrPropFailure,Deductions_TimeViolation,Qualified
9,11.14,1.2377777777777779,-0.19666666666666666,-0.5,0.0,8,2,2.13,2.0,2.25,2.25,-0.5,0.0,0.0,0
9,6.779999999999999,0.7533333333333333,-0.1388888888888889,-0.38,0.08,6,3,2.0,1.56,1.88,1.56,0.0,0.0,0.0,0
9,36.02,4.002222222222223,0.06333333333333332,-0.9,0.49,2,3,4.15,3.7,4.0,3.5,0.0,0.0,0.0,1
9,32.57,3.618888888888889,0.013333333333333352,-1.65,0.73,2,3,4.3,4.1,4.15,3.95,-0.5,0.0,0.0,1
9,30.07,3.341111111111111,-0.4099999999999999,-2.06,0.54,4,3,4.2,3.35,3.95,3.95,-1.5,0.0,0.0,1
9,25.1,2.788888888888889,0.09555555555555556,-0.47,0.43,1,3,3.5,3.2,3.25,3.1,0.0,0.0,0.0,1
9,24.55,2.727777777777778,0.04,-0.53,0.42,3,3,3.5,3.3,3.35,3.25,0.0,0.0,0.0,1
9,24.42,2.7133333333333334,-0.15444444444444444,-1.65,0.65,3,2,4.0,3.4,3.55,3.15,-1.0,0.0,0.0,1
9,22.69,2.5211111111111113,0.05888888888888889,-0.29,0.3,2,3,3.55,3.25,3.45,3.3,0.0,0.0,0.0,0
9,24.0,2.6666666666666665,0.004444444444444449,-0.51,0.35,3,3,3.15,3.0,3.35,3.2,0.0,0.0,0.0,0
9,23.630000000000003,2.6255555555555556,-0.015555555555555552,-0.25,0.11,4,2,3.3,2.95,3.25,2.95,0.0,0.0,0.0,0
9,22.4,2.488888888888889,0.041111111111111105,-0.44,0.7,4,3,3.2,3.05,3.05,3.1,0.0,0.0,0.0,0
9,20.4,2.2666666666666666,0.04666666666666666,-0.04,0.18,1,2,3.0,2.75,3.0,2.75,0.0,0.0,0.0,0
9,21.03,2.336666666666667,-0.14666666666666667,-0.5,0.25,6,3,3.05,3.0,2.95,2.9,0.0,0.0,0.0,0
9,18.24,2.0266666666666664,-0.19111111111111112,-1.05,0.25,6,3,2.75,2.5,2.5,2.65,-0.5,0.0,0.0,0
9,18.77,2.0855555555555556,-0.20444444444444446,-0.52,0.04,8,3,2.35,2.05,2.25,1.85,0.0,0.0,0.0,0
9,17.31,1.9233333333333331,-0.41888888888888887,-1.05,0.02,6,3,2.35,2.25,2.45,2.55,-1.5,0.0,0.0,0
9,13.61,1.5122222222222221,-0.16777777777777778,-0.4,0.0,8,2,2.4,2.1,2.05,2.0,0.0,0.0,0.0,0
9,32.41,3.601111111111111,-0.06444444444444444,-1.38,1.02,3,3,4.4,4.4,4.45,4.3,0.0,0.0,0.0,1
9,32.97,3.663333333333333,-0.3222222222222222,-1.51,0.98,5,2,4.4,4.05,3.9,3.65,0.0,0.0,0.0,1
9,27.77,3.0855555555555556,0.22,-0.29,0.52,1,3,4.3,3.95,3.95,3.85,0.0,0.0,0.0,1
9,29.53,3.281111111111111,-0.15777777777777774,-1.65,0.66,3,2,4.25,4.05,4.15,4.25,-1.0,0.0,0.0,1
9,28.79,3.198888888888889,-0.0044444444444444575,-0.92,0.3,2,3,3.6,3.5,3.55,3.45,0.0,0.0,0.0,1
9,24.01,2.667777777777778,0.04777777777777777,-0.55,0.42,4,3,3.9,3.65,3.65,3.7,-0.5,0.0,0.0,1
9,20.78,2.308888888888889,0.04444444444444443,-1.05,0.63,2,2,4.0,3.65,3.7,3.6,-1.0,0.0,0.0,0
9,22.91,2.5455555555555556,-0.12777777777777777,-0.54,0.35,5,3,3.45,3.2,3.05,3.15,0.0,0.0,0.0,0
9,18.38,2.042222222222222,-0.11555555555555556,-0.43,0.16,4,3,3.45,2.95,3.1,2.7,0.0,0.0,0.0,0
9,19.17,2.1300000000000003,-0.07666666666666667,-0.55,0.38,5,2,3.05,3.0,2.95,3.45,-0.5,0.0,0.0,0
9,15.41,1.7122222222222223,-0.19555555555555557,-1.05,0.21,6,3,2.75,2.4,2.45,2.1,-0.5,0.0,0.0,0
9,15.67,1.741111111111111,-0.23888888888888887,-0.64,0.13,8,3,2.5,2.45,2.35,2.35,0.0,0.0,0.0,0
9,17.67,1.9633333333333336,-0.49444444444444446,-0.92,0.0,8,3,2.95,1.9,2.5,2.1,-1.0,0.0,0.0,0
9,12.85,1.4277777777777778,-0.23777777777777778,-0.9,0.1,4,3,2.65,3.0,3.25,3.45,-1.0,0.0,0.0,0
9,10.43,1.1588888888888889,-0.13,-0.29,0.0,6,3,2.45,2.45,2.5,2.6,-0.5,0.0,0.0,0
9,33.46,3.717777777777778,-0.2811111111111111,-1.65,0.91,5,3,4.35,3.9,4.0,3.7,-1.0,0.0,0.0,1
9,26.740000000000002,2.9711111111111115,-0.006666666666666672,-0.67,0.42,4,3,4.0,3.65,3.9,3.85,0.0,0.0,0.0,1
9,21.849999999999998,2.4277777777777776,0.06777777777777777,-0.42,0.5,3,3,3.95,3.85,3.8,3.85,0.0,0.0,0.0,1
9,24.82,2.7577777777777777,0.006666666666666671,-0.36,0.42,2,3,3.55,3.25,3.5,3.2,0.0,0.0,0.0,1
9,19.31,2.145555555555555,0.06555555555555556,-0.18,0.28,2,2,3.95,3.95,4.0,3.75,0.0,0.0,0.0,0
9,22.62,2.5133333333333336,-0.01777777777777778,-0.47,0.35,5,3,3.7,3.35,3.5,3.15,0.0,0.0,0.0,0
9,27.07,3.0077777777777777,-0.49222222222222217,-2.15,0.14,4,3,3.8,3.25,3.4,3.35,-1.0,0.0,0.0,0
9,23.03,2.558888888888889,-0.11111111111111113,-1.05,0.36,3,2,3.4,3.1,3.45,3.45,-1.0,0.0,-0.5,0
9,19.990000000000002,2.2211111111111115,-0.22999999999999998,-0.9,0.4,5,3,3.25,2.85,3.2,3.0,-1.5,0.0,0.0,0
9,15.8,1.7555555555555555,-0.03444444444444445,-0.25,0.29,4,3,2.55,2.15,2.1,2.1,-0.5,0.0,0.0,0
9,15.46,1.7177777777777778,-0.20666666666666667,-0.9,0.03,5,3,2.55,2.2,2.55,2.35,-0.5,0.0,0.0,0
9,14.26,1.5844444444444443,-0.21222222222222223,-0.55,0.1,6,3,2.65,2.45,2.65,2.65,-0.5,0.0,0.0,0
9,11.74,1.3044444444444445,-0.11222222222222222,-0.31,0.04,6,3,2.35,2.2,2.25,2.25,-0.5,0.0,0.0,0
9,10.16,1.1288888888888888,-0.11,-0.65,0.0,5,3,2.2,2.0,2.2,2.2,-0.5,0.0,0.0,0
9,9.46,1.051111111111111,-0.20222222222222222,-0.65,0.1,7,2,2.0,1.85,2.0,1.95,-1.0,0.0,-0.5,0
9,33.09,3.676666666666667,0.21555555555555556,-0.33,0.49,1,3,4.31,4.19,4.19,4.0,0.0,0.0,0.0,1
9,27.310000000000002,3.0344444444444445,0.013333333333333336,-1.32,0.59,2,2,3.88,3.94,3.94,3.94,-0.5,0.0,0.0,1
9,24.68,2.7422222222222223,0.07666666666666667,-0.55,0.53,2,3,3.94,3.63,3.75,3.81,-0.5,0.0,0.0,1
9,23.990000000000002,2.6655555555555557,0.16777777777777778,-0.43,0.36,1,2,3.75,3.56,3.69,3.69,0.0,0.0,0.0,1
9,21.64,2.4044444444444446,0.21666666666666667,0.04,0.42,0,3,3.88,3.75,3.44,3.38,0.0,0.0,0.0,1
9,23.48,2.608888888888889,0.05888888888888889,-0.21,0.28,2,3,3.31,3.0,3.31,3.13,0.0,0.0,0.0,1
9,21.0,2.3333333333333335,-0.001111111111111109,-0.47,0.44,3,3,3.38,3.38,3.5,3.63,0.0,0.0,0.0,0
9,23.98,2.6644444444444444,-0.27888888888888885,-1.65,0.23,5,3,3.5,2.88,3.19,2.88,-0.5,0.0,0.0,0
9,21.310000000000002,2.367777777777778,-0.04111111111111112,-1.05,0.23,2,3,3.31,3.13,3.38,3.13,-0.5,0.0,0.0,0
9,21.33,2.3699999999999997,-0.08555555555555555,-0.51,0.2,3,3,3.0,3.13,3.25,3.25,0.0,0.0,0.0,0
9,25.42,2.8244444444444445,-0.4477777777777777,-1.65,0.18,5,3,3.25,2.81,3.0,2.81,-1.0,0.0,0.0,0
9,22.19,2.4655555555555555,-0.5777777777777778,-1.65,0.09,7,3,3.44,2.63,3.25,2.94,-1.0,0.0,0.0,0
9,18.42,2.046666666666667,-0.23777777777777778,-1.05,0.18,5,3,3.0,2.81,3.0,3.06,-1.0,0.0,0.0,0
9,19.259999999999998,2.1399999999999997,-0.25555555555555554,-0.59,0.0,6,3,2.63,2.38,2.63,2.5,0.0,0.0,0.0,0
9,17.24,1.9155555555555555,-0.22111111111111112,-0.74,0.05,8,3,2.69,2.44,2.88,2.69,0.0,0.0,0.0,0
9,23.62,2.6244444444444444,0.17666666666666667,-0.36,0.45,2,2,4.31,3.88,4.0,3.75,0.0,0.0,0.0,1
9,27.31,3.0344444444444445,-0.12555555555555556,-2.15,0.35,2,3,3.94,3.81,3.75,3.75,-0.5,0.0,0.0,1
9,25.08,2.7866666666666666,0.09111111111111111,-0.32,0.53,2,3,3.5,3.44,3.5,3.38,0.0,0.0,0.0,1
9,21.91,2.4344444444444444,-0.1522222222222222,-0.69,0.26,5,3,3.38,3.25,3.19,3.31,0.0,0.0,0.0,1
9,21.06,2.34,-0.07444444444444445,-0.5,0.35,4,3,3.38,3.13,3.19,3.13,0.0,0.0,0.0,0
9,21.84,2.4266666666666667,-0.15222222222222223,-1.05,0.3,3,2,3.25,3.13,3.13,3.0,-0.5,0.0,0.0,0
9,20.64,2.2933333333333334,-0.13333333333333336,-0.55,0.15,4,2,3.38,3.13,3.19,3.06,-0.5,0.0,-0.5,0
9,17.69,1.9655555555555557,-0.1922222222222222,-0.54,0.0,7,3,2.75,2.5,2.69,2.56,0.0,0.0,0.0,0
9,15.46,1.7177777777777778,-0.20444444444444446,-0.65,0.13,6,2,2.94,2.69,2.81,2.81,0.0,0.0,0.0,0
9,15.83,1.758888888888889,-0.26333333333333336,-0.9,0.04,5,3,2.56,2.31,2.31,2.31,-1.0,0.0,0.0,0
9,13.18,1.4644444444444444,-0.19,-0.52,0.0,8,3,2.69,2.44,2.56,2.56,-0.5,0.0,0.0,0
8,12.92,1.615,-0.21500000000000002,-0.55,0.0,6,3,2.25,2.13,2.31,2.25,0.0,0.0,0.0,0
9,13.24,1.471111111111111,-0.26555555555555554,-0.65,0.06,6,2,2.31,2.0,2.44,2.44,-1.5,0.0,0.0,0
9,36.15,4.016666666666667,0.15666666666666668,-0.97,0.66,1,3,4.44,4.13,4.13,4.0,0.0,0.0,0.0,1
9,28.23,3.1366666666666667,-0.012222222222222225,-1.32,0.53,3,3,4.06,3.94,4.06,3.88,-0.5,0.0,0.0,1
9,23.26,2.5844444444444448,0.20777777777777776,-0.11,0.59,1,3,4.0,4.0,4.25,4.19,0.0,0.0,0.0,1
9,24.21,2.69,0.09666666666666666,-0.26,0.38,2,2,3.69,3.63,3.75,3.44,0.0,0.0,0.0,1
9,23.59,2.621111111111111,-0.17666666666666667,-1.32,0.42,4,2,3.56,3.25,3.69,3.31,-0.5,0.0,0.0,0
9,22.39,2.4877777777777776,-0.05111111111111109,-0.85,0.35,3,2,3.56,3.31,3.56,3.56,-1.0,0.0,0.0,0
9,19.85,2.2055555555555557,0.060000000000000005,-0.19,0.21,2,3,3.44,3.19,3.25,3.25,0.0,0.0,0.0,0
9,22.55,2.5055555555555555,-0.19444444444444445,-0.86,0.2,5,2,3.38,2.94,3.19,3.06,-0.5,0.0,0.0,0
9,21.69,2.41,-0.10888888888888888,-0.63,0.26,6,3,3.19,3.0,3.19,2.88,0.0,0.0,0.0,0
9,21.15,2.3499999999999996,-0.0811111111111111,-0.43,0.12,3,3,3.25,2.75,3.06,2.75,0.0,0.0,0.0,0
9,16.95,1.8833333333333333,-0.17888888888888888,-0.72,0.05,5,3,3.31,2.81,2.94,2.63,-0.5,0.0,0.0,0
9,15.86,1.7622222222222221,-0.23888888888888887,-0.76,0.25,6,3,2.81,2.5,2.75,2.44,-0.5,0.0,0.0,0
9,36.01,4.001111111111111,0.02333333333333331,-2.06,0.65,3,3,4.5,4.3,4.65,4.35,-0.5,0.0,0.0,1
9,25.48,2.8311111111111114,0.1288888888888889,-1.32,0.66,3,3,4.5,3.8,4.4,4.1,-0.5,0.0,0.0,1
9,24.1,2.677777777777778,0.26555555555555554,0.0,0.52,0,3,4.05,4.15,4.3,4.1,0.0,0.0,0.0,1
9,27.310000000000002,3.0344444444444445,-0.1511111111111111,-1.65,0.36,4,3,3.8,3.5,4.1,3.95,-0.5,0.0,0.0,1
9,24.72,2.7466666666666666,0.033333333333333326,-0.63,0.7,4,3,3.95,3.65,3.9,3.65,0.0,0.0,0.0,1
9,24.580000000000002,2.7311111111111113,0.014444444444444446,-0.43,0.43,3,3,3.5,3.45,3.8,3.8,0.0,0.0,0.0,1
9,21.04,2.3377777777777777,-0.05222222222222223,-0.64,0.38,3,3,3.4,3.1,3.5,3.15,0.0,0.0,0.0,0
9,23.2,2.5777777777777775,-0.2,-0.85,0.18,5,3,3.25,3.0,3.25,3.0,-0.5,0.0,0.0,0
9,18.7,2.0777777777777775,-0.20666666666666667,-0.92,0.36,6,2,3.75,3.25,3.75,3.4,-1.0,0.0,0.0,0
9,19.830000000000002,2.2033333333333336,-0.18333333333333332,-0.88,0.23,4,3,3.25,2.9,3.3,3.1,-0.5,0.0,0.0,0
9,18.07,2.0077777777777777,-0.2,-0.53,0.25,7,3,3.35,3.15,3.5,3.5,0.0,0.0,0.0,0
9,19.84,2.2044444444444444,-0.28,-0.84,0.03,6,3,2.9,2.8,3.2,3.1,0.0,0.0,0.0,0
9,16.29,1.8099999999999998,-0.20333333333333334,-0.48,0.0,8,3,2.8,2.45,2.85,2.6,0.0,0.0,0.0,0
9,12.72,1.4133333333333333,-0.07444444444444444,-0.35,0.04,5,2,2.55,2.3,2.65,2.2,0.0,0.0,0.0,0
9,15.02,1.6688888888888889,-0.29888888888888887,-0.9,-0.04,9,2,2.5,2.1,2.6,2.25,-1.0,0.0,0.0,0
9,28.63,3.181111111111111,-0.07222222222222224,-1.05,0.35,4,3,3.88,3.69,3.81,3.75,-0.5,0.0,0.0,1
9,28.51,3.167777777777778,-0.025555555555555578,-1.32,0.96,3,3,3.75,3.63,4.19,3.94,-1.0,0.0,0.0,1
9,29.0,3.2222222222222223,-0.027777777777777776,-0.63,0.33,3,3,3.63,3.5,3.56,3.25,0.0,0.0,0.0,1
9,31.38,3.4866666666666664,-0.42333333333333334,-1.72,0.47,6,3,3.94,3.56,3.88,3.69,-1.0,0.0,0.0,1
9,25.28,2.808888888888889,0.03222222222222223,-0.63,0.61,3,3,3.69,3.94,4.13,3.88,0.0,0.0,0.0,1
9,22.55,2.5055555555555555,0.14666666666666664,-0.55,0.69,2,3,4.13,4.06,4.06,4.06,-0.5,0.0,0.0,1
9,22.93,2.5477777777777777,0.017777777777777767,-0.63,0.7,3,2,4.0,3.81,4.06,3.81,0.0,0.0,0.0,1
9,21.18,2.3533333333333335,-0.22666666666666668,-1.05,0.2,5,3,3.56,3.31,4.0,3.81,-0.5,0.0,0.0,0
9,20.63,2.292222222222222,-0.1322222222222222,-0.84,0.31,3,3,3.25,3.13,3.25,3.0,-0.5,0.0,0.0,0
9,20.49,2.2766666666666664,-0.2677777777777778,-0.84,0.11,4,3,2.94,2.88,3.25,2.94,0.0,0.0,0.0,0
9,18.53,2.058888888888889,-0.20444444444444446,-1.05,0.0,7,2,2.81,2.63,2.94,2.69,-0.5,0.0,0.0,0
9,17.45,1.9388888888888889,-0.2688888888888889,-1.05,0.11,7,3,2.88,2.88,3.31,3.06,-0.5,0.0,0.0,0
9,17.150000000000002,1.905555555555556,-0.2777777777777778,-0.9,0.16,6,2,2.81,2.88,3.19,3.0,-0.5,0.0,0.0,0
9,43.6,4.844444444444445,-0.06222222222222221,-0.98,0.53,4,3,4.69,4.38,4.25,3.94,0.0,0.0,0.0,1
9,28.62,3.18,0.1822222222222222,-0.55,0.96,2,3,4.5,4.06,4.31,4.13,-0.5,0.0,0.0,1
9,27.65,3.072222222222222,-0.10222222222222221,-0.89,0.39,3,3,3.44,3.56,3.38,3.56,0.0,0.0,0.0,1
9,20.18,2.2422222222222223,0.011111111111111108,-0.89,0.88,4,3,4.31,4.06,4.31,4.25,0.0,0.0,0.0,1
9,22.580000000000002,2.508888888888889,-0.05222222222222222,-0.37,0.26,4,3,3.69,3.81,3.75,3.56,0.0,0.0,0.0,0
9,22.63,2.5144444444444445,-0.04777777777777777,-0.65,0.79,4,2,3.44,3.25,3.13,3.19,-0.5,0.0,0.0,0
9,22.56,2.5066666666666664,-0.16888888888888892,-1.32,0.14,3,3,3.56,3.19,3.44,3.44,-0.5,0.0,0.0,0
9,19.41,2.1566666666666667,0.017777777777777774,-0.59,0.31,2,3,3.56,3.44,3.44,3.13,0.0,0.0,0.0,0
9,21.34,2.371111111111111,-0.1811111111111111,-0.59,0.14,6,2,2.88,2.88,3.0,3.0,0.0,0.0,0.0,0
9,19.6,2.177777777777778,-0.2977777777777778,-1.05,0.08,6,3,3.0,2.75,3.06,2.69,-0.5,0.0,0.0,0
9,15.280000000000001,1.6977777777777778,-0.04555555555555556,-0.25,0.11,5,2,2.75,3.0,3.13,2.88,-0.5,0.0,0.0,0
9,17.65,1.961111111111111,-0.3711111111111111,-0.9,0.09,7,3,2.88,2.63,2.81,2.81,-1.0,0.0,0.0,0
9,14.2,1.5777777777777777,-0.3655555555555556,-1.05,0.0,8,1,2.63,2.0,2.63,2.06,-0.5,0.0,0.0,0
9,12.01,1.3344444444444443,-0.23333333333333334,-0.68,0.0,6,3,2.44,2.44,2.5,2.25,-0.5,0.0,0.0,0
9,26.04,2.893333333333333,0.19777777777777777,-0.16,0.72,3,3,4.44,4.63,4.44,4.38,0.0,0.0,0.0,1
9,28.54,3.171111111111111,0.00777777777777776,-1.32,0.53,2,3,3.63,3.81,3.81,3.56,-0.5,0.0,0.0,1
9,25.490000000000002,2.8322222222222226,0.028888888888888877,-0.53,0.7,2,3,3.69,3.94,4.06,3.94,0.0,0.0,0.0,1
9,21.6,2.4000000000000004,0.07222222222222223,-0.55,0.33,1,3,4.13,3.81,3.88,3.75,-0.5,0.0,0.0,1
9,27.73,3.0811111111111114,-0.18666666666666665,-1.65,0.44,3,3,3.38,3.44,3.56,3.25,-0.5,0.0,0.0,1
9,23.17,2.5744444444444445,0.004444444444444436,-0.64,0.61,5,3,3.75,3.56,3.63,3.5,-0.5,0.0,0.0,0
9,21.79,2.421111111111111,0.0022222222222222365,-0.84,0.7,3,3,3.81,3.56,3.94,4.06,-1.0,0.0,0.0,0
9,22.97,2.552222222222222,-0.09555555555555556,-0.55,0.07,4,3,3.38,3.38,3.5,3.44,-0.5,0.0,0.0,0
9,21.990000000000002,2.4433333333333334,0.0,0.0,0.0,0,3,3.0,2.94,3.06,2.81,-0.5,0.0,0.0,0
9,15.89,1.7655555555555555,-0.21777777777777776,-0.72,0.13,6,3,2.75,3.0,3.31,3.25,-0.5,0.0,0.0,0
9,14.92,1.6577777777777778,-0.23111111111111113,-0.5,0.0,8,3,2.75,2.75,2.56,2.44,0.0,0.0,0.0,0
9,16.29,1.8099999999999998,-0.27666666666666667,-0.68,0.06,6,3,2.38,2.56,2.88,2.63,-0.5,0.0,0.0,0
9,30.619999999999997,3.402222222222222,0.1588888888888889,-0.71,0.53,1,2,3.9,3.6,3.75,3.6,0.0,0.0,0.0,1
9,27.68,3.0755555555555554,0.05333333333333334,-0.61,0.83,4,3,4.3,4.05,4.3,4.2,0.0,0.0,0.0,1
9,31.42,3.4911111111111115,-0.14111111111111108,-2.15,0.56,3,3,4.05,3.75,4.0,3.55,-0.5,0.0,0.0,1
9,27.2,3.022222222222222,-0.2866666666666667,-1.01,0.22,6,3,3.6,3.45,3.45,3.55,0.0,0.0,0.0,1
9,23.86,2.651111111111111,-0.07888888888888888,-0.9,0.49,3,3,3.45,3.3,3.6,3.45,-0.5,0.0,0.0,1
9,19.52,2.1688888888888886,0.04777777777777778,-0.54,0.65,3,3,3.6,3.55,3.7,3.6,0.0,0.0,0.0,1
